region_name,region_code,income_group_name,income_group_code,country_name,country_code,r2m_name,r2m_code,sdg_name,sdg_code,indicator_name,indicator_code,sex,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Caribbean,AMC,Upper middle income,UMC,Grenada,GRD,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
Caribbean,AMC,Upper middle income,UMC,Grenada,GRD,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
Micronesia,OMI,High income,HIC,Guam,GUM,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
Micronesia,OMI,High income,HIC,Guam,GUM,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
Central America,AMM,Lower middle income,LMC,Guatemala,GTM,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,22.31888,,,40.78673,,
Western Africa,AFW,Low income,LIC,Guinea,GIN,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,3.68785,,,6.170127,,
Western Africa,AFW,Low income,LIC,Guinea-Bissau,GNB,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
Western Africa,AFW,Low income,LIC,Guinea-Bissau,GNB,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
South America,AMZ,Upper middle income,UMC,Guyana,GUY,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
South America,AMZ,Upper middle income,UMC,Guyana,GUY,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
Caribbean,AMC,Low income,LIC,Haiti,HTI,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,22.00727,,,17.4961,,
Central America,AMM,Lower middle income,LMC,Honduras,HND,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,20.51226,,,30.04366,,
Eastern Asia,ASF,High income,HIC,"Hong Kong SAR, China",HKG,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,88.68604,,,96.14764,,
Eastern Europe,EUE,High income,HIC,Hungary,HUN,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,72.67432,,,72.25683,,
Northern Europe,EUN,High income,HIC,Iceland,ISL,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,,,,,,
Northern Europe,EUN,High income,HIC,Iceland,ISL,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS,,,,,,,,,,,,,,,,,,
Southern Asia,ASZ,Lower middle income,LMC,India,IND,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,35.23184,,,52.75381,,
South­Eastern Asia,ASE,Lower middle income,LMC,Indonesia,IDN,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,19.58199,,,35.94736,,
Southern Asia,ASZ,Upper middle income,UMC,Iran,IRN,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,73.68385,,,92.17522,,
Western Asia,ASW,Upper middle income,UMC,Iraq,IRQ,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,10.55375,,,10.97235,,
Northern Europe,EUN,High income,HIC,Ireland,IRL,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,93.88835,,,94.71014,,
Western Asia,ASW,High income,HIC,Israel,ISR,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,90.46864,,,89.95277,,
Southern Europe,EUZ,High income,HIC,Italy,ITA,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,71.00853,,,87.33458,,
Caribbean,AMC,Upper middle income,UMC,Jamaica,JAM,Indicator 18: Formal financial account,18,Goal 8: Decent Work and Economic Growth,8,Account at a financial institution (% age 15+),SF.FIN.ACCT.ZS.MF,Both,,,,,,,,,,,,70.9915,,,78.34596,,
